Year,Month,Sri_Lanka_Dollar Rate(LKR),Estate,Price,Month_Encoded,Estate_Encoded,Time_Index
-0.5228869856159725,January,-0.8068694687471695,Kendalanda,93.0,-0.4418316172451484,-1.224744871391589,-0.560130625916834
-0.5228869856159725,February,-0.7924705200351078,Kendalanda,94.0,-0.7294389907349149,-1.224744871391589,-0.5851299876168738
-0.5228869856159725,March,-0.784616548010347,Kendalanda,95.0,0.420990503224151,-1.224744871391589,-0.4851325408167146
-0.5228869856159725,April,-0.7761080783168559,Kendalanda,96.02,-1.5922611112042144,-1.224744871391589,-0.6601280727169933
-0.5228869856159725,May,-0.7532006599113031,Kendalanda,97.0,0.7085978767139175,-1.224744871391589,-0.4601331791166748
-0.5228869856159725,June,-0.7394562088679717,Kendalanda,98.0,0.13338312973438454,-1.224744871391589,-0.5101319025167543
-0.5228869856159725,July,-0.7283297484995601,Kendalanda,99.0,-0.15422424375538193,-1.224744871391589,-0.5351312642167941
-0.5228869856159725,August,-0.7100038137751182,Kendalanda,100.0,-1.3046537377144478,-1.224744871391589,-0.6351287110169535
-0.5228869856159725,September,-0.6301550981900484,Kendalanda,102.0,1.571419997183217,-1.224744871391589,-0.3851350940165554
-0.5228869856159725,October,-0.5817222707040229,Kendalanda,104.0,1.2838126236934504,-1.224744871391589,-0.4101344557165952
-0.5228869856159725,November,-0.5143090108248248,Kendalanda,106.0,0.996205250203684,-1.224744871391589,-0.435133817416635
-0.5228869856159725,December,-0.4501682392892772,Kendalanda,108.0,-1.0170463642246814,-1.224744871391589,-0.6101293493169136
-0.2222269688867712,January,-0.43904177892086593,Kendalanda,108.0,-0.4418316172451484,-1.224744871391589,-0.26013828551635637
-0.2222269688867712,February,-0.4743846530322903,Kendalanda,108.0,-0.7294389907349149,-1.224744871391589,-0.2851376472163962
-0.2222269688867712,March,-0.4907470947505423,Kendalanda,107.0,0.420990503224151,-1.224744871391589,-0.18514020041623694
-0.2222269688867712,April,-0.5339439408867271,Kendalanda,105.0,-1.5922611112042144,-1.224744871391589,-0.3601357323165156
-0.2222269688867712,May,-0.5162725038310152,Kendalanda,106.0,0.7085978767139175,-1.224744871391589,-0.16014083871619714
-0.2222269688867712,June,-0.5084185318062543,Kendalanda,107.0,0.13338312973438454,-1.224744871391589,-0.21013956211627674
-0.2222269688867712,July,-0.5182359968372054,Kendalanda,106.0,-0.15422424375538193,-1.224744871391589,-0.23513892381631654
-0.2222269688867712,August,-0.4900925970818121,Kendalanda,108.0,-1.3046537377144478,-1.224744871391589,-0.3351363706164758
-0.2222269688867712,September,-0.4521317322954675,Kendalanda,110.0,1.571419997183217,-1.224744871391589,-0.08514275361607773
-0.2222269688867712,October,-0.4468957509456268,Kendalanda,111.0,1.2838126236934504,-1.224744871391589,-0.11014211531611753
-0.2222269688867712,November,-0.46456718800133917,Kendalanda,110.0,0.996205250203684,-1.224744871391589,-0.13514147701615734
-0.2222269688867712,December,-0.44820474628308726,Kendalanda,111.0,-1.0170463642246814,-1.224744871391589,-0.310137008916436
0.07843304784243005,January,-0.4455867556081667,Kendalanda,112.0,-0.4418316172451484,-1.224744871391589,0.03985405488412129
0.07843304784243005,February,-0.44296876493324655,Kendalanda,113.0,-0.7294389907349149,-1.224744871391589,0.014854693184081488
0.07843304784243005,March,-0.3984629234596012,Kendalanda,114.45,0.420990503224151,-1.224744871391589,0.11485213998424071
0.07843304784243005,April,-0.3081422451748504,Kendalanda,116.0,-1.5922611112042144,-1.224744871391589,-0.060143391916037924
0.07843304784243005,May,-0.36377454701690703,Kendalanda,115.0,0.7085978767139175,-1.224744871391589,0.1398515016842805
0.07843304784243005,June,-0.3912634491035702,Kendalanda,114.0,0.13338312973438454,-1.224744871391589,0.0898527782842009
0.07843304784243005,July,-0.3892999560973803,Kendalanda,114.0,-0.15422424375538193,-1.224744871391589,0.06485341658416109
0.07843304784243005,August,-0.39977191879706125,Kendalanda,113.0,-1.3046537377144478,-1.224744871391589,-0.03514403021599812
0.07843304784243005,September,-0.40369890480944187,Kendalanda,112.0,1.571419997183217,-1.224744871391589,0.21484958678439992
0.07843304784243005,October,-0.4089348861592826,Kendalanda,111.0,1.2838126236934504,-1.224744871391589,0.1898502250843601
0.07843304784243005,November,-0.4004264164657915,Kendalanda,112.0,0.996205250203684,-1.224744871391589,0.1648508633843203
0.07843304784243005,December,-0.3722830167103981,Kendalanda,114.0,-1.0170463642246814,-1.224744871391589,-0.010144668515958315
0.3790930645716313,January,-0.3199232032119919,Kendalanda,116.0,-0.4418316172451484,-1.224744871391589,0.3398463952845989
0.3790930645716313,February,-0.2767263570758066,Kendalanda,118.0,-0.7294389907349149,-1.224744871391589,0.3148470335845591
0.3790930645716313,March,-0.22894802725851127,Kendalanda,120.0,0.420990503224151,-1.224744871391589,0.41484448038471833
0.3790930645716313,April,-0.21651257155263956,Kendalanda,121.0,-1.5922611112042144,-1.224744871391589,0.23984894848443972
0.3790930645716313,May,-0.21127659020279888,Kendalanda,121.98,0.7085978767139175,-1.224744871391589,0.43984384208475813
0.3790930645716313,June,-0.20342261817803803,Kendalanda,123.0,0.13338312973438454,-1.224744871391589,0.3898451186846785
0.3790930645716313,July,-0.19949563216565777,Kendalanda,124.0,-0.15422424375538193,-1.224744871391589,0.3648457569846387
0.3790930645716313,August,-0.18967816713470662,Kendalanda,125.0,-1.3046537377144478,-1.224744871391589,0.2648483101844795
0.3790930645716313,September,-0.17986070210375546,Kendalanda,126.0,1.571419997183217,-1.224744871391589,0.5148419271848775
0.3790930645716313,October,-0.17397022308518453,Kendalanda,127.0,1.2838126236934504,-1.224744871391589,0.48984256548483773
0.3790930645716313,November,-0.16807974406661397,Kendalanda,128.0,0.996205250203684,-1.224744871391589,0.46484320378479793
0.3790930645716313,December,-0.1667707487291539,Kendalanda,129.0,-1.0170463642246814,-1.224744871391589,0.2898476718845193
0.6797530813008326,January,-0.1772427114288349,Kendalanda,106.0,-0.4418316172451484,-1.224744871391589,0.6398387356850765
0.6797530813008326,February,-0.17331572541645468,Kendalanda,115.0,-0.7294389907349149,-1.224744871391589,0.6148393739850367
0.6797530813008326,March,0.7815963732607283,Kendalanda,137.0,0.420990503224151,-1.224744871391589,0.714836820785196
0.6797530813008326,April,1.4982713205201632,Kendalanda,205.0,-1.5922611112042144,-1.224744871391589,0.5398412888849173
0.6797530813008326,May,1.8654445126777368,Kendalanda,220.0,0.7085978767139175,-1.224744871391589,0.7398361824852357
0.6797530813008326,June,1.8948969077705904,Kendalanda,217.0,0.13338312973438454,-1.224744871391589,0.6898374590851561
0.6797530813008326,July,1.9040598751328113,Kendalanda,243.0,-0.15422424375538193,-1.224744871391589,0.6648380973851163
0.6797530813008326,August,1.9073323634764616,Kendalanda,233.0,-1.3046537377144478,-1.224744871391589,0.5648406505849571
0.6797530813008326,September,1.9184588238448732,Kendalanda,240.0,1.571419997183217,-1.224744871391589,0.8148342675853552
0.6797530813008326,October,1.939402749244236,Kendalanda,237.0,1.2838126236934504,-1.224744871391589,0.7898349058853154
0.6797530813008326,November,1.9564196886312175,Kendalanda,220.0,0.996205250203684,-1.224744871391589,0.7648355441852756
0.6797530813008326,December,1.9727821303494695,Kendalanda,238.0,-1.0170463642246814,-1.224744871391589,0.5898400122849969
0.9804130980300338,January,1.9825995953804205,Kendalanda,240.0,-0.4418316172451484,-1.224744871391589,0.9398310760855543
0.9804130980300338,February,1.9446387305940764,Kendalanda,230.0,-0.7294389907349149,-1.224744871391589,0.9148317143855144
0.9804130980300338,March,1.4321670559784259,Kendalanda,205.6,0.420990503224151,-1.224744871391589,1.0148291611856737
0.9804130980300338,April,1.3974786795357315,Kendalanda,198.0,-1.5922611112042144,-1.224744871391589,0.839833629285395
0.9804130980300338,May,1.179530955848616,Kendalanda,166.1,0.7085978767139175,-1.224744871391589,1.0398285228857134
0.9804130980300338,June,1.040122952409109,Kendalanda,160.0,0.13338312973438454,-1.224744871391589,0.9898297994856339
0.9804130980300338,July,1.266579145789716,Kendalanda,169.0,-0.15422424375538193,-1.224744871391589,0.9648304377855941
0.9804130980300338,August,1.3673717867741477,Kendalanda,180.4,-1.3046537377144478,-1.224744871391589,0.8648329909854348
0.9804130980300338,September,1.4230040886162043,Kendalanda,190.0,1.571419997183217,-1.224744871391589,1.1148266079858329
0.9804130980300338,October,1.4334760513158857,Kendalanda,180.0,1.2838126236934504,-1.224744871391589,1.089827246285793
0.9804130980300338,November,1.462928446408739,Kendalanda,174.0,0.996205250203684,-1.224744871391589,1.0648278845857533
